Time,SSS-RSRP,SSS-RePower
05:58.6,-138.2,-119.9
05:58.7,-118.4,-114.5
06:02.1,-140.3,-122.1
06:02.2,-119.2,-111.9
06:03.1,-134.8,-121.7
06:06.8,-138.1,-122.7
06:06.9,-126.5,-119.5
06:07.7,-117.4,-108.2
06:10.0,-136.3,-120.3
06:12.4,-123.9,-115.3
06:12.5,-119.5,-115.3
06:13.2,-120.4,-109.7
06:18.1,-135,-119.9
06:18.2,-131.8,-117.8
06:18.3,-135.3,-119.8
06:20.0,-131.1,-120.3
06:22.8,-125.6,-118.4
06:22.9,-113.2,-109.6
06:25.6,-124.3,-118.7
06:27.1,-133.1,-119.5
06:27.2,-125.3,-117.7
06:27.4,-137.5,-120.2
06:30.9,-138.7,-120.7
06:31.0,-108.1,-108
06:32.0,-134,-121
06:35.7,-137.5,-119.8
06:35.7,-138.3,-120.3
06:35.8,-120.5,-107.2
06:36.7,-133.1,-119.5
06:40.2,-132.4,-120.3
06:45.0,-129.5,-120.2
06:46.1,-128.1,-118.4
06:46.2,-137,-119.9
06:46.2,-135.8,-120
06:48.9,-137.8,-120
06:50.4,-135.2,-113.7
06:50.5,-136.8,-119.6
06:51.3,-116.7,-113.4
06:54.6,-136.1,-122
06:56.1,-140.5,-116.5
06:56.2,-128.3,-113.3
06:56.3,-126.8,-119.6
06:58.8,-124.3,-113.9
07:01.3,-122.3,-116.2
07:01.4,-131.6,-121.3
07:01.5,-130.2,-117.6
07:02.0,-134.4,-121.6
07:03.5,-134.8,-119.8
07:06.7,-140.6,-119.2
07:06.8,-140.3,-119.6
07:06.9,-126,-119.6
07:09.2,-137.2,-121.6
07:09.4,-134.1,-121.3
07:09.5,-124.8,-119.4
07:14.5,-138.8,-122.4
07:14.6,-133.7,-122.2
07:14.7,-124.6,-120
07:16.2,-137.1,-120.5
07:17.4,-137.1,-122.6
07:17.5,-109.5,-110.9
07:21.0,-136.5,-122.5
07:23.5,-128.4,-121.8
07:23.6,-114.4,-112.4
07:27.2,-128.2,-119.5
07:30.3,-122,-111.3
07:30.4,-131.9,-120.2
07:34.9,-134.1,-122
07:36.0,-141.5,-122.4
07:36.1,-138,-120.1
07:37.3,-131.4,-119.7
07:39.5,-114.7,-113.3
07:39.6,-138.2,-121
07:39.7,-137.9,-122.9
07:42.5,-134.3,-120.9
07:44.0,-130.4,-118.7
07:44.1,-129.8,-121.9
07:44.2,-134.6,-119.3
07:48.2,-129.4,-120
07:48.3,-135.5,-120.1
07:48.4,-135.9,-122.5
07:50.0,-136.2,-122.7
07:52.3,-139.3,-123.2
07:52.4,-139.1,-121.6
07:52.6,-125.7,-120.4
07:55.5,-131.5,-122.5
07:55.6,-137.9,-120.9
07:55.7,-136.7,-122.2
07:57.6,-135,-120.1
08:00.3,-135.1,-121.2
08:00.4,-134.7,-122.3
08:00.5,-135.5,-122.4
08:03.3,-125,-120.9
08:06.0,-132.7,-122.4
08:06.1,-123.3,-112.5
08:07.2,-135.9,-119.4
08:10.3,-128.9,-121.3
08:10.4,-129,-112.2
08:10.8,-124.9,-120.3
08:14.1,-130.7,-122.8
08:14.2,-140.5,-119.9
08:14.4,-124.8,-120.5
08:16.4,-132.8,-120.9
08:18.4,-140.1,-122.1
08:18.5,-139.8,-120.4
08:19.7,-134.2,-119.8
08:21.7,-135.3,-122
08:23.1,-136.3,-119
08:23.2,-129.7,-122
08:24.2,-125.1,-120.9
08:27.4,-136.4,-123.1
08:27.5,-132.8,-123.1
08:29.4,-123.7,-119.7
08:31.5,-110.3,-108.1
08:31.6,-136.6,-117.5
08:33.4,-125,-119
08:38.4,-126.1,-119.4
08:39.7,-124.3,-116.5
08:39.8,-132.4,-119.8
08:44.0,-129.6,-116.3
08:44.1,-135.3,-120.1
08:46.1,-117.8,-114
08:49.6,-122.1,-116.1
08:52.5,-133.4,-117
08:52.6,-137.5,-118.2
08:53.3,-113.4,-111.6
08:57.8,-138,-121.5
08:57.9,-134.2,-115.6
08:58.0,-129.6,-119.9
09:00.4,-134.3,-116.3
09:01.8,-131.6,-115.4
09:01.9,-122,-115.5
09:02.4,-132.7,-114.2
