Time,SSS-RSRP,SSS-RePower
35:08.4,-130.1,-114
35:09.9,-115.8,-114.4
35:09.9,-133.7,-112.7
35:10.0,-117.7,-114.4
35:11.8,-101.1,-99.5
35:12.7,-120.9,-109
35:12.7,-135.4,-112.8
35:12.8,-108.7,-107.3
35:13.7,-112.7,-111
35:16.0,-134.9,-113.2
35:16.0,-125.2,-113.2
35:16.1,-114.9,-113.2
35:16.1,-117,-111.2
35:17.7,-115.4,-112.4
35:18.8,-108.9,-103
35:18.9,-130.8,-96.7
35:18.9,-137,-108.5
35:20.2,-118.1,-107.4
35:22.0,-124,-111.1
35:23.2,-130.6,-108.9
35:23.3,-92.4,-92.7
35:23.4,-120.3,-108.6
35:24.3,-122.8,-111.7
35:25.6,-104.1,-103.5
35:29.1,-126.5,-108.5
35:29.2,-125.7,-110.1
35:29.2,-111.6,-110.1
35:29.3,-114.6,-106.7
35:32.8,-99,-99
35:34.5,-132.5,-115.5
35:35.4,-122.4,-115.6
35:35.5,-115.7,-109.5
35:35.5,-131.7,-117
35:37.0,-113.1,-109.5
35:39.5,-95.6,-97.1
35:42.4,-124,-115.6
35:42.4,-134.9,-116.1
35:42.5,-101.8,-102.1
35:43.7,-134.3,-115.2
35:44.8,-100,-100
35:47.4,-110.6,-101.3
35:47.5,-131.2,-113.1
35:47.5,-119,-108.3
35:48.5,-126.6,-111.2
35:49.5,-115.1,-111.3
35:51.6,-112.3,-108
35:54.3,-124.8,-115.9
35:54.4,-129.4,-110.5
35:54.5,-127.4,-114.9
35:54.5,-124.6,-110.5
35:55.6,-117.4,-114.7
35:57.7,-124.2,-113.1
35:57.8,-126.9,-113.1
35:57.8,-122.5,-113.1
35:58.4,-119.3,-111.3
35:59.6,-119.9,-107.8
36:01.0,-118.5,-110.5
36:01.0,-110.3,-107.8
36:01.1,-123.3,-110.6
36:01.2,-126.5,-109.1
36:03.0,-119.4,-115.6
36:06.3,-112.5,-106.2
36:08.0,-126.8,-111.7
36:08.0,-129.3,-111.7
36:08.1,-116.6,-108.2
36:08.1,-116.2,-95.8
36:09.6,-118.2,-112.1
36:11.1,-116.1,-111.7
36:13.8,-116.4,-109.6
36:13.9,-111.7,-108.1
36:13.9,-101,-101
36:14.0,-126.3,-113
36:15.5,-116.7,-102.4
36:17.1,-99.3,-99.3
36:18.3,-116.1,-108.4
36:19.8,-112.8,-106.7
36:19.9,-124,-107.9
36:19.9,-106.1,-101.4
36:20.0,-121,-101.9
36:22.7,-110.1,-96.5
36:23.7,-129.1,-100
36:24.8,-110.9,-104.9
36:25.5,-123.7,-110.1
36:25.6,-114.1,-103
36:25.6,-97.8,-97.5
36:26.7,-125.4,-110.4
36:29.0,-117.8,-101.3
36:30.4,-108.4,-105.9
36:31.5,-117.3,-106.9
36:32.7,-112.5,-96.8
36:32.7,-130.7,-105.7
36:32.8,-126.7,-108.2
36:32.9,-113.1,-108.1
36:34.7,-103.7,-100.5
36:35.5,-126.7,-104.8
36:38.2,-116.3,-107.1
36:39.2,-106.3,-103.9
36:39.2,-96.5,-96.6
36:39.3,-131.7,-106
36:39.5,-111.9,-96.4
36:41.0,-115,-98
36:41.0,-127.4,-101.3
36:41.1,-118.3,-107.7
36:41.2,-109.4,-107.3
36:42.6,-124.4,-103.1
36:44.3,-112.4,-107.2
36:45.2,-97.5,-96.7
36:45.3,-124.7,-103.4
36:45.3,-108.7,-103.4
36:45.4,-109.6,-105.7
36:47.9,-116.2,-101.5
36:47.9,-112.8,-106.8
36:48.0,-107,-102.7
36:48.0,-116.2,-97.9
36:48.1,-111.3,-95.4
36:50.5,-107.3,-103.3
36:50.5,-115.3,-103.3
36:50.6,-111.4,-107.7
36:50.6,-121.5,-105.3
36:52.5,-101.1,-98.7
36:52.7,-116.5,-102.6
36:53.6,-110.6,-105
36:53.7,-114.7,-107
36:53.7,-117,-103.2
36:55.0,-119.5,-106.4
36:57.3,-107.2,-106.5
36:58.1,-117.5,-112
36:58.1,-129.7,-105.9
36:58.2,-109.7,-105.9
36:58.2,-117.7,-110.8
37:00.5,-109.3,-105.5
37:02.5,-130.2,-111.7
37:05.2,-128.3,-100.6
37:06.1,-123.8,-98.5
37:06.2,-116.3,-100.5
37:06.3,-117.6,-102.9
37:06.7,-116.7,-106.9
37:09.2,-121.2,-102.6
37:10.2,-123.6,-107.3
37:10.2,-110.2,-103.4
37:10.3,-95.7,-94.5
37:10.3,-110.6,-107.3
37:11.8,-127,-108.2
37:13.2,-115.2,-105.8
37:15.6,-123.8,-104.8
37:16.7,-108.4,-95
37:19.0,-112,-104.4
37:19.0,-118.5,-106.3
37:19.1,-127.3,-92.9
37:19.1,-113.6,-99
37:20.7,-127.8,-106.5
37:22.4,-127.2,-107
37:23.8,-113.8,-110
37:23.8,-128.7,-106.8
37:23.9,-121.8,-107.5
37:23.9,-109.4,-106.8
37:24.7,-104.3,-91.3
37:27.0,-124.9,-111.3
37:28.0,-125,-106.5
37:30.3,-124.4,-106
37:32.6,-122.5,-102.2
37:32.6,-124.7,-102.2
37:32.7,-131.2,-101.9
37:32.7,-123.3,-104.9
37:33.6,-112.4,-102.6
37:35.0,-115.6,-107.2
37:36.8,-123,-104.8
37:37.2,-132.8,-109.5
37:37.3,-125.9,-107.2
37:37.3,-130.6,-107.2
37:37.4,-125.5,-108.8
37:38.7,-133.9,-109.8
37:38.7,-128.5,-112.1
37:38.8,-124.8,-114.2
37:38.8,-135.7,-112.1
37:39.1,-128.7,-110
37:41.4,-117.6,-113.2
37:44.5,-113.9,-110.7
37:45.6,-124.8,-111.9
37:49.1,-116.7,-109.6
37:49.9,-107.8,-104.2
37:50.0,-135.3,-113.3
37:50.0,-129.8,-116.7
37:50.1,-136.9,-116.7
37:52.5,-127.9,-117
37:54.7,-111,-105.9
37:57.3,-116.4,-110.5
37:58.5,-117.8,-113.6
37:58.5,-133.6,-113.4
37:58.6,-134.5,-113.6
37:58.6,-117,-112.3
38:01.3,-130.6,-108.2
38:02.5,-131,-110.7
38:02.5,-135.5,-111.5
38:02.6,-120.4,-115.7
38:02.6,-121.9,-110.7
38:05.0,-121.9,-113.6
38:07.2,-132.5,-115.9
38:08.8,-123.1,-109.6
38:10.0,-116.5,-107.2
38:10.1,-132.2,-108.3
38:10.1,-127.3,-112.8
38:10.2,-131.8,-110.8
38:12.2,-117,-111.2
38:14.4,-130.7,-113.4
38:15.5,-123.6,-111.4
38:15.5,-118.5,-110.9
38:15.6,-126.1,-111.4
38:15.6,-118.7,-111.5
38:16.2,-111.2,-111.1
38:19.0,-134.9,-114.4
38:21.4,-115.8,-112.9
38:23.6,-136.7,-112.2
38:23.6,-102.1,-102.5
38:23.7,-130.7,-110.9
38:25.0,-132.5,-119.3
38:27.1,-124.5,-115.7
38:27.1,-133.7,-111.2
38:27.2,-135.1,-111.2
38:27.3,-130.5,-115.3
38:28.8,-131.8,-119.3
38:30.4,-125.8,-115.6
38:35.1,-131,-105.5
38:35.4,-131.7,-116.3
38:35.5,-121.9,-110.9
38:35.6,-137.5,-117.5
38:37.3,-121.6,-111.4
38:38.4,-133.2,-114.1
38:39.4,-127.1,-111.2
38:39.5,-133.2,-111.3
38:39.5,-137.7,-111.3
38:40.6,-133.6,-113.5
38:41.8,-119.6,-113.6
38:45.6,-122.7,-113.7
38:47.9,-128.5,-115.3
38:48.0,-123.9,-110.5
38:48.1,-135.2,-108.4
38:48.9,-122.9,-111.8
38:50.4,-100.1,-100.9
38:51.3,-120.2,-100.3
38:51.4,-79.9,-81.5
38:52.9,-79.7,-83.8
38:53.0,-84.3,-82.2
38:53.0,-82.5,-84.5
38:54.7,-134.4,-115.9
39:00.3,-125.1,-96.6
39:00.4,-136.4,-118.9
39:00.5,-132.4,-118.9
39:02.1,-134.3,-118.2
39:03.9,-125.5,-99.8
39:03.9,-97.8,-98
39:04.0,-119.8,-99.8
39:05.1,-96.8,-97.7
39:07.6,-131.6,-109.8
39:08.5,-127.8,-108.1
39:08.6,-119.8,-119.3
39:10.1,-132.7,-118.7
39:11.8,-132.9,-109.9
39:11.9,-126.4,-111.7
39:11.9,-116.5,-117
44:36.6,-115.8,-114.4
44:44.9,-118.6,-109.4
44:45.0,-104,-103.4
44:49.1,-120.7,-117.2
44:50.2,-122.5,-112.8
44:51.1,-117.9,-115.5
44:53.8,-118.7,-116.9
44:53.9,-113.7,-111.3
44:57.0,-126.9,-108.4
44:57.1,-126.4,-114.8
44:57.2,-130.8,-108.4
44:59.5,-130.1,-118.6
45:01.5,-131.9,-105.4
45:01.6,-118.4,-111.8
45:01.7,-134.8,-119.3
45:06.0,-138.3,-119.6
45:06.1,-123.7,-108.7
45:06.2,-116.1,-108.6
45:10.0,-129.3,-103.2
45:11.0,-123.1,-109.7
45:11.1,-131.5,-112.8
45:11.3,-116.7,-115.2
45:16.0,-123.1,-119.1
45:16.1,-105,-104.3
45:16.2,-119.9,-117.7
45:20.5,-112.8,-106.2
45:22.1,-113.5,-112.8
45:22.1,-129.4,-112.8
45:23.8,-135.2,-115.2
45:28.0,-103.7,-103.8
45:28.1,-127.9,-117.5
45:28.2,-121.2,-117.5
45:29.0,-128.4,-103.9
45:33.1,-119.5,-116.9
45:33.2,-125.2,-111.5
45:33.2,-117.9,-113.1
45:35.2,-128.9,-100.5
45:36.0,-120.2,-115.7
45:36.0,-118.4,-116.6
45:36.2,-131.9,-116.9
45:38.0,-122.2,-113.5
45:39.5,-124.5,-116.5
45:39.5,-127.5,-113.7
45:39.6,-125.7,-104
45:42.5,-122.5,-111.9
45:43.0,-116.2,-115.6
45:43.1,-101.6,-102.5
45:43.1,-122.6,-111.3
45:44.0,-112,-112.2
45:46.9,-132,-108.8
45:47.8,-134,-117.6
45:47.8,-123,-117.3
45:47.9,-104.2,-105.8
45:49.2,-132.7,-114.4
45:52.5,-112.5,-106
45:52.5,-117.7,-106.1
45:52.6,-121.9,-115
45:54.5,-117.9,-115.6
45:54.9,-134.9,-114.7
45:55.0,-122.2,-105.4
45:55.0,-115,-105.4
45:58.4,-134.1,-112.8
45:58.4,-124.3,-112.7
45:58.5,-124.8,-107.5
45:58.6,-134.9,-108.8
46:01.3,-115.2,-113.5
46:02.9,-131.8,-112.7
46:03.0,-126.7,-115.4
46:03.0,-123.3,-115.4
46:03.1,-135.3,-116.3
46:05.7,-119.6,-114.1
46:06.4,-121.4,-113.7
46:06.4,-132.8,-111.5
46:06.5,-114.1,-108.8
46:06.5,-117.3,-107.7
46:09.1,-115.5,-108.8
46:11.0,-130.1,-108.6
46:11.1,-104.1,-103.5
46:11.1,-125.6,-112.7
46:11.2,-125.3,-114.1
46:13.0,-122.6,-111.4
46:14.9,-128.5,-102.1
46:15.9,-115.3,-110.2
46:15.9,-120.2,-112
46:16.0,-107.1,-101.6
46:16.0,-119.7,-110
46:17.5,-105.8,-102
46:20.1,-118.7,-107.2
46:20.1,-132.9,-107.3
46:20.2,-124.4,-107.2
46:20.3,-117.3,-100.2
46:23.5,-113,-102.5
46:24.9,-117.2,-94.8
46:24.9,-128.4,-105.1
46:25.0,-102.7,-100.8
46:25.0,-134.7,-106.1
46:25.1,-103.7,-102.7
46:27.1,-113.8,-97.2
46:28.2,-120.3,-98.2
46:29.2,-121.3,-106.8
46:30.6,-104.6,-103.7
46:30.6,-119.6,-107
46:30.7,-106.5,-97.8
46:30.7,-132.5,-97.6
46:31.5,-122.4,-108.5
46:33.2,-126.3,-108.9
46:35.9,-109.5,-106
46:35.9,-110.1,-94
46:36.0,-127.2,-106
46:36.0,-118.7,-103.8
46:37.5,-107.8,-106.2
46:39.6,-130,-106.8
46:40.2,-119,-103.2
46:40.3,-113.3,-100.7
46:40.3,-132.2,-103
46:40.4,-106,-103.3
46:41.7,-97.5,-86.4
46:43.4,-120.6,-90.2
46:43.4,-102.9,-96.2
46:43.5,-131.4,-100.4
46:43.5,-96.6,-90.1
46:45.5,-125.3,-104.9
46:47.1,-93.9,-93.5
46:47.6,-115.9,-103.6
46:47.6,-132.7,-100.6
46:47.7,-130.5,-101
46:47.7,-112.6,-103.7
46:48.9,-107.8,-101
46:51.1,-124.1,-101.9
46:51.1,-110,-104.5
46:51.2,-104.5,-86.7
46:51.2,-125,-104.1
46:51.3,-119.9,-101.7
46:53.1,-108.4,-104.5
46:53.5,-99.6,-99.7
46:53.6,-114.5,-88.1
46:53.6,-116,-103.4
46:53.7,-92.8,-94.4
46:54.8,-125.7,-101
46:57.0,-124.3,-100.9
46:57.1,-119.8,-102.2
46:57.1,-128.8,-98.8
46:57.2,-111.9,-102.7
46:57.5,-105.3,-102.4
47:00.4,-106.6,-96.1
47:00.4,-97,-95.9
47:00.5,-92.1,-91.8
47:00.5,-102.5,-93.1
47:02.8,-98.3,-90
47:04.5,-121.8,-94.1
47:04.5,-118.5,-91.3
47:04.6,-95,-82.6
47:05.6,-119.1,-93.9
47:07.3,-104.8,-91.6
47:07.8,-109.9,-89.5
47:07.9,-102.3,-89.6
47:08.1,-102.5,-90.8
47:10.9,-103.3,-86.7
47:11.3,-100.1,-92.2
47:11.3,-85.5,-83
47:11.4,-111.8,-86.8
47:13.7,-118.1,-88.5
47:13.9,-98.8,-89.8
47:14.0,-109.8,-82
47:14.1,-107,-95.9
47:16.9,-113,-86.6
47:18.5,-102,-99.1
47:18.6,-117.8,-98.7
47:18.9,-105.9,-97
47:20.9,-122,-94
47:20.9,-109.8,-94.3
47:21.0,-85.7,-83.4
47:22.0,-93.9,-93.3
47:24.0,-104.3,-97
47:24.8,-86.2,-88.1
47:24.9,-107.1,-79.7
47:25.2,-112.9,-84.2
47:27.9,-112.4,-98.3
47:30.0,-125.4,-102.5
47:30.1,-122.2,-103.7
47:31.1,-102.3,-102.2
47:32.2,-126.8,-100.3
47:32.3,-124.5,-102.6
47:32.4,-109.5,-103
47:33.5,-110.6,-91.4
47:35.7,-100,-92.8
47:35.8,-112.1,-103.9
47:35.9,-123.8,-93.4
47:37.0,-121.7,-102
47:38.8,-101,-94.5
47:39.2,-123.2,-98.7
47:39.3,-116.8,-104.7
47:39.9,-113.9,-100.4
47:41.1,-107,-100.3
47:41.2,-99,-99
47:42.2,-124.2,-97.9
47:43.7,-114.7,-87.2
47:44.8,-99.5,-88
47:44.9,-93.4,-88
47:45.0,-104,-101.2
47:47.9,-120.2,-84
47:49.0,-101.6,-102.6
47:49.0,-115.3,-104.6
47:49.2,-121.5,-97.2
47:53.8,-108.3,-103.5
47:53.8,-114.4,-105.8
47:53.9,-106.3,-103.6
47:57.0,-125.1,-104.8
47:57.0,-110,-95.9
47:57.1,-115.3,-106.8
47:57.6,-116.5,-103.8
48:01.8,-117.8,-106
48:01.9,-110,-105.9
48:02.0,-113.9,-105.9
48:02.1,-120.8,-102.2
48:05.9,-109.2,-104.7
48:05.9,-115.1,-100.7
48:06.0,-123,-94.6
48:07.3,-106.5,-99.1
48:09.2,-102.8,-101.6
48:09.3,-106.7,-103.1
48:09.4,-125.8,-103.7
48:09.6,-99.1,-99.2
48:12.7,-126.2,-102.3
48:12.8,-112.9,-103.9
48:12.9,-87.6,-86.3
48:13.5,-105.5,-100
48:16.3,-127.1,-101.2
48:16.4,-121,-102
48:16.6,-112,-105.3
48:19.2,-116.7,-106.8
48:19.3,-114.5,-108.5
48:19.4,-127.3,-110.3
48:22.7,-106.8,-98.3
48:23.4,-115.5,-108.8
48:23.5,-111.8,-107
48:25.5,-111.7,-107.4
48:27.6,-103.9,-99.8
48:27.7,-106.2,-99.8
48:27.8,-116.6,-108.1
48:30.0,-121.5,-110.7
48:30.6,-113.3,-111.3
48:30.7,-132.5,-112.4
48:31.3,-106.5,-100
48:34.6,-120.2,-108.9
48:34.7,-120.8,-108.8
48:34.7,-123.3,-108.9
48:37.3,-118.8,-96.7
48:37.7,-126.4,-112.6
48:37.8,-115.3,-112.6
48:39.7,-118.4,-107.7
48:40.9,-115,-112.5
48:41.0,-120.3,-112.3
48:41.3,-111.5,-105.8
48:44.2,-127.4,-110.4
48:44.7,-126.3,-115.8
48:44.8,-115.6,-110.6
48:47.2,-127.4,-115.1
48:48.0,-126.5,-116.3
48:48.1,-114.5,-109.6
48:50.4,-121.7,-113.5
48:50.7,-121,-114.5
48:50.8,-127.1,-116.1
48:52.3,-120,-108.8
48:54.6,-106.8,-107.2
48:54.7,-128.6,-116.8
48:56.4,-123,-113.6
48:58.6,-125.2,-116.1
49:00.3,-128.2,-113.7
49:00.4,-128.3,-113.7
49:00.5,-111.2,-108.4
49:02.4,-133.3,-112
49:03.1,-115.2,-111.8
49:03.2,-130.9,-114.6
49:03.3,-112.4,-110.7
49:05.8,-105,-104.2
49:06.1,-106.2,-105.5
49:06.2,-109.9,-106.9
49:08.5,-116,-111.1
49:09.6,-122.5,-115.3
49:09.7,-121.9,-115.3
49:09.8,-126.7,-112.2
49:12.3,-126.3,-113.5
49:12.4,-129.9,-115.8
49:12.5,-125.3,-115.8
49:12.7,-120.9,-111.6
49:14.7,-120.6,-112.6
49:14.8,-119.4,-113.9
49:14.9,-104.3,-104.5
49:16.1,-116.2,-110.9
49:18.8,-119.1,-102.7
49:18.8,-113.2,-109.5
49:18.9,-113.6,-106
49:20.1,-111.1,-103.9
49:20.9,-119.4,-107.3
49:20.9,-128,-107.5
49:21.1,-120.8,-111.3
49:22.7,-121,-112.2
49:24.3,-128.9,-113.2
49:24.4,-121.3,-109.5
49:24.4,-127.4,-108.8
49:26.2,-104.6,-102
49:27.7,-136.7,-105.8
49:27.7,-133.1,-112.5
49:27.8,-127,-110.5
49:30.0,-123.6,-115.5
49:30.8,-133.4,-112.3
49:30.9,-125.7,-116.5
49:31.0,-112.5,-108.7
49:31.5,-109.3,-106.7
49:35.6,-120.3,-114
49:35.6,-129.3,-111.5
49:35.7,-120,-102.6
49:36.1,-127.1,-116.8
49:37.6,-128.4,-112.6
49:40.3,-130.8,-115.2
49:40.3,-127.2,-111.1
49:40.4,-121.1,-117.2
49:41.0,-102.3,-104.3
49:44.2,-116.9,-115.3
49:44.3,-123.5,-117.3
49:44.3,-125,-116.6
49:44.4,-134.9,-117.3
49:47.8,-130.6,-113.8
49:47.9,-114.6,-105.4
49:49.1,-131.7,-117.5
49:51.0,-133.5,-115.6
49:51.1,-113.3,-109.7
49:51.3,-121,-114.3
49:53.2,-109.7,-110
49:53.3,-117.9,-114.3
49:53.3,-131.8,-114.4
49:55.9,-119.5,-101.9
49:57.7,-132.8,-111.1
49:57.8,-130.3,-111.1
49:58.1,-128.4,-115.3
50:01.0,-126.9,-116.5
50:01.0,-132.7,-117.6
50:01.1,-136.3,-110.1
50:04.2,-130.7,-116.8
50:04.3,-128.2,-117.5
50:04.4,-124.8,-116.3
50:09.2,-132.8,-110.7
50:09.3,-121.7,-116.3
50:09.4,-124.5,-113.6
50:12.1,-122.4,-104.9
50:12.2,-116.3,-110.7
50:12.3,-126.5,-117
50:14.9,-131.1,-115.9
50:17.1,-124.3,-117.9
50:17.1,-105.3,-104
50:17.2,-134.9,-117.8
50:19.2,-122.2,-116.3
50:20.1,-124.8,-117
50:20.1,-130.3,-117.2
50:23.8,-131.1,-117.3
50:24.0,-127.5,-117.1
50:24.1,-124.7,-115.5
50:26.1,-130.2,-117.5
50:27.4,-128.9,-119.6
50:27.5,-127.7,-117.4
50:27.7,-130.4,-118.6
50:31.6,-128.9,-104.7
50:31.7,-132.8,-119.2
50:31.8,-134.1,-119
50:35.6,-121.8,-104.3
50:35.7,-131.6,-115.8
50:35.8,-127.1,-117.6
50:38.6,-131.6,-120.1
50:39.4,-126.4,-114.4
50:42.9,-132.3,-117
50:43.1,-131.4,-117.6
50:45.9,-134.3,-117.7
50:47.6,-130.6,-116.7
50:50.4,-130.9,-117.1
50:54.1,-125.2,-117.3
50:58.7,-133.3,-116.5
51:02.3,-125.5,-116.1
51:06.9,-115.5,-109.4
51:15.4,-118.5,-110.9
51:18.5,-131.7,-115
51:20.9,-128.8,-115.3
51:25.5,-126.7,-115.7
51:29.4,-127.3,-115.8
51:33.9,-116.6,-110.5
51:39.8,-128.8,-114.8
51:43.8,-130,-114.8
51:49.8,-132.6,-116.4
51:54.5,-125.7,-115.5
51:59.7,-129.6,-114.8
52:04.8,-133.4,-116.1
52:11.5,-119.2,-114
52:31.6,-122.5,-113.2
52:44.5,-122.7,-113.4
52:55.3,-129,-115.5
53:07.7,-120.5,-114.2
53:20.4,-130,-114.4
53:32.6,-125.6,-114.4
53:39.3,-123.8,-114.3
53:46.8,-133.4,-115.5
56:28.9,-126.7,-121.3
56:32.6,-131.3,-122.2
56:38.7,-127.6,-121.7
56:40.0,-139,-121.4
56:42.0,-136.8,-123.2
56:46.6,-136.6,-121.8
56:55.5,-120.4,-117.1
56:59.3,-118.3,-115.9
57:04.4,-138.4,-122.2
57:10.2,-133.2,-122.8
57:12.6,-133.3,-122.6
57:20.4,-133.5,-122.1
57:22.5,-115.3,-115.5
57:27.9,-132.1,-121.3
57:31.7,-126.8,-121.2
57:34.8,-123.3,-113
57:39.4,-131,-122.2
57:43.0,-125.1,-120.6
57:44.7,-129.3,-120.1
57:47.2,-138.8,-122.2
57:50.0,-127.6,-120.2
57:52.4,-138.3,-117.3
57:52.5,-135.5,-117.3
57:55.0,-135.3,-120.5
57:55.6,-135,-120.2
57:55.6,-118.5,-107.2
57:56.3,-131.7,-121.1
58:01.1,-136.6,-121.6
58:04.5,-121.5,-115.3
58:04.6,-130.2,-117.8
58:04.7,-134.7,-119.5
58:07.3,-136.3,-120
58:07.9,-131.2,-115.3
58:08.0,-134.1,-115.3
58:08.0,-121.3,-116.1
58:11.9,-123.9,-117.8
58:14.4,-133.8,-118.3
58:14.4,-130.3,-116.1
58:14.5,-127.6,-118.3
58:15.4,-122.5,-116.2
58:19.0,-121,-91.8
58:19.5,-130.4,-117.5
58:19.5,-123.5,-114.4
58:21.2,-124.7,-116.2
58:24.3,-126.8,-118.4
58:25.4,-122.5,-117.5
58:25.4,-124.5,-117.6
58:25.5,-135.2,-117.6
58:26.7,-133.7,-118.8
58:31.1,-126.2,-117.2
58:33.7,-125.8,-119.2
58:33.7,-130.2,-120.5
58:33.8,-135,-120.5
58:35.8,-132.7,-118.7
58:38.2,-112.5,-113.4
58:39.6,-130.5,-119.9
58:39.7,-138.7,-120.8
58:39.7,-126.7,-119.9
58:42.2,-129.1,-119
58:44.3,-129,-100.4
58:44.4,-130.6,-120.8
58:44.5,-124.8,-115.8
58:44.5,-131.3,-99.7
58:48.5,-117.2,-115
58:51.5,-123.7,-118.3
58:52.3,-117,-115.8
58:52.4,-125.8,-118.7
58:52.5,-136.3,-121.2
58:55.7,-135.3,-118
58:59.8,-129.4,-121.3
58:59.9,-122.6,-101.9
58:59.9,-136.8,-119.1
59:00.0,-129.8,-101.9
59:00.0,-133.8,-119.5
59:03.4,-129.7,-118.1
59:03.5,-129.2,-118.7
59:03.5,-128,-120.9
59:03.6,-115.9,-114.3
59:05.4,-138.2,-119
59:08.5,-129.3,-117.8
59:08.6,-130.9,-121.2
59:08.6,-126,-117.8
59:08.7,-130,-121.6
59:08.7,-134.6,-120.3
59:11.3,-134.6,-120
59:14.3,-123,-116.9
59:15.3,-137.4,-120.4
59:15.3,-122.5,-116.1
59:15.4,-125.3,-101.7
59:15.4,-135.3,-120
59:17.3,-135.8,-119.9
59:19.8,-125.2,-114.5
59:21.8,-138.1,-119.1
59:21.9,-133.5,-121.2
59:21.9,-126.5,-117.8
59:22.0,-136.7,-121.2
59:24.4,-138.5,-122.4
59:26.2,-126.4,-119.7
59:28.5,-133.9,-120.6
59:31.8,-131.8,-119
59:31.9,-131.8,-120.8
59:31.9,-137.6,-116.6
59:32.0,-132.1,-115.4
59:32.0,-137.1,-116.6
59:34.0,-125.4,-117.4
59:37.8,-134.2,-120.5
59:38.6,-138.1,-117.3
59:38.7,-127.5,-120.8
59:38.7,-129.5,-115.3
59:38.8,-134.8,-117.3
59:39.5,-128.3,-117.4
59:42.7,-137.6,-123.3
59:43.7,-127.1,-113.7
59:44.3,-137.7,-118.3
59:44.4,-134.6,-119.3
59:44.4,-135.6,-110.2
59:44.5,-126.1,-114.8
59:47.1,-129.6,-117.8
59:47.8,-122.1,-120.2
59:50.1,-134,-121
59:50.9,-135.1,-113.6
59:51.0,-135.3,-120.3
59:51.0,-133.6,-120.4
59:51.1,-138.3,-105
59:51.6,-130.5,-122.8
59:52.3,-135,-124.2
59:54.5,-139,-120
59:55.1,-136,-116.3
59:55.2,-133.3,-116.5
59:55.2,-130.1,-119.4
59:55.3,-136,-116.2
59:55.8,-129.5,-116.5
59:55.9,-129.3,-122.3
59:58.5,-128.7,-114.5
59:59.6,-135,-120.1
00:00.3,-139.1,-123.4
00:01.8,-125,-112.6
00:03.2,-139.3,-120
00:03.3,-127.7,-114.8
00:03.3,-126.3,-103.5
00:03.4,-138.6,-118.4
00:03.4,-129.6,-119.1
00:03.7,-140,-123.5
00:04.1,-135,-124.5
00:06.5,-139.6,-124.1
00:07.4,-129.8,-120.2
00:08.3,-132.8,-119.7
00:09.4,-119.7,-113.7
00:09.8,-124.4,-106.8
00:09.9,-135,-123.1
00:09.9,-138.7,-112.7
00:09.9,-137.8,-112.7
00:10.0,-124.6,-112.3
00:11.8,-134.2,-113.4
00:14.1,-129.2,-108.2
00:15.0,-133.8,-123.7
00:15.8,-135.4,-122.9
00:16.0,-113.8,-113
00:16.0,-113.5,-112
00:16.1,-125,-112.9
00:16.1,-132.4,-112.9
00:16.1,-117.3,-113
00:16.4,-127,-118.8
00:18.9,-123.9,-113.7
00:20.2,-124.1,-115.1
00:20.8,-104.2,-102
00:22.2,-132.8,-113.1
00:22.3,-131.2,-116
00:22.4,-120.5,-115.1
00:22.4,-127.4,-115.5
00:22.5,-134.2,-118.2
00:24.9,-139,-123
00:25.1,-125.1,-120.3
00:25.9,-137,-124
00:27.2,-134,-113.9
00:29.3,-136.4,-115.5
00:29.4,-124,-117.1
00:29.4,-126.8,-119
00:29.5,-137.3,-117
00:29.5,-115.3,-111.3
00:29.9,-126.8,-120.2
00:30.7,-135.3,-123.3
00:31.4,-123.4,-113.3
00:34.0,-124.5,-116.3
00:35.9,-140.8,-121.3
00:36.1,-138.9,-121.3
00:37.4,-126.2,-114.8
00:40.1,-136,-120.8
00:40.7,-97.5,-97.4
00:41.6,-137.4,-115.8
00:41.7,-121.6,-118.4
00:41.7,-135.1,-118.6
00:41.8,-138.9,-118.6
00:41.8,-136.3,-117.2
00:43.5,-128.5,-113.5
00:44.5,-128.9,-123.2
00:45.3,-112.5,-110.8
00:48.5,-124.3,-114
00:48.6,-131.7,-118.9
00:48.6,-129.6,-114
00:48.6,-96.2,-96.1
00:48.7,-116.7,-108.9
00:49.3,-130.1,-122.9
00:50.6,-126,-115.9
00:51.2,-120.5,-110.4
00:53.3,-132.1,-123.5
00:53.9,-126.6,-123.4
00:56.1,-138,-116.4
00:56.1,-124.8,-117.7
00:56.2,-123.4,-115.3
00:56.2,-127.4,-110.9
00:57.0,-128.8,-118.9
00:58.8,-132.1,-114
00:59.7,-137.7,-115.4
00:59.8,-139.4,-114.4
00:59.8,-125.3,-110.3
00:59.9,-135.8,-114.9
01:00.1,-123.3,-113.5
01:03.2,-123.7,-118.6
01:03.4,-125.4,-120.8
01:04.2,-126.3,-111.9
01:05.1,-131.6,-116.7
01:05.2,-140.1,-116.3
01:05.2,-124.3,-112.6
01:05.2,-134.7,-112.6
01:05.4,-127.9,-95.9
01:06.3,-137.9,-122.7
01:07.5,-123.5,-111.6
01:08.7,-117.5,-107.7
01:09.8,-121.4,-116.5
01:09.8,-122.6,-113.7
01:09.9,-120.3,-118
01:09.9,-127.9,-113.8
01:10.2,-121.5,-116.7
01:10.7,-130.8,-121
01:12.7,-106.7,-103.5
01:13.8,-130.8,-124
01:15.3,-139,-124.1
